FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_NAME,UNIT_MEASURE_NAME,TIME_PERIOD,OBS_VALUE
Annual,USA,United States,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,53.81
Annual,ZAF,South Africa,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,64.1
Annual,GRC,Greece,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,45.29
Annual,NLD,Netherlands,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,67.37
Annual,FRA,France,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,50.86
Annual,ESP,Spain,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,30.65
Annual,HUN,Hungary,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,28.22
Annual,ITA,Italy,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,33.75
Annual,ROU,Romania,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,55.67
Annual,CHE,Switzerland,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,52.49
Annual,GBR,United Kingdom,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,47.18
Annual,SWE,Sweden,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,68.96
Annual,NOR,Norway,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,68
Annual,POL,Poland,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,73.64
Annual,DEU,Germany,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,41.43
Annual,MEX,Mexico,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,61.52
Annual,BRA,Brazil,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,65.37
Annual,CHL,Chile,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,59.42
Annual,COL,Colombia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,59.96
Annual,VEN,"Venezuela, RB",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,65.83
